line_id	process_id	step_seq	step_desc	main_flag	virtual_metro_step_yn	virtual_metro_item_yn	item_id	subitem_id	data_class	recipe_id	dcspec_id	unit	item_seq	target	spec_high	spec_low	lcl	cl	ucl	spc_ctrl_spec_high	spc_ctrl_spec_low	spc_ctrl_spec_limit	reg_time	last_update_time	last_dcol_time	item_grade	eqp_type	step_type
KFBW	KWTH	TH140028	14.0 SMART OVERLAY	N	N	N	E1_WK14	VALUE	SITE	[NULL]	TH140028_KLA	[NULL]	1,000,014	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2014-02-23 22:20	2017-04-28 10:00	2014-04-20 15:22	[NULL]	POVLAY	[NULL]
KFBW	KWSN	SN035576	3.5 YE BF INSP	N	N	N	DPA05	VALUE	SITE	[NULL]	SN035576_YE	[NULL]	21,000	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	[NULL]	METRYE	[NULL]
KFBW	KWPF	PF100040	10.0 OVERLAY INSP	N	N	N	POINTS	VALUE	SITE	[NULL]	PF100040_KLA	[NULL]	2,400	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	D	POVLAY	[NULL]
KFBW	KWMK	MK057040	5.7 OVERLAY INSP	N	N	N	E1_WK11	VALUE	SITE	[NULL]	MK057040_KLA	[NULL]	1,000,011	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	[NULL]	POVLAY	[NULL]
KFBW	KWSQ	SQ118240	11.8 2ND S-OCS HDP DEPO INSP	N	N	N	BIN4_1	VALUE	SITE	[NULL]	SQ118240_DI	[NULL]	10,100	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	[NULL]	METRDI	[NULL]
KFBW	KWQM	QM053020	5.3 P HALO PHOTO	U	Y	N	SD1_DI1FLOW	VALUE	SITE	[NULL]	PHOTO_SPECIN	[NULL]	10,000	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	[NULL]	PMAINF	[NULL]
KFBW	KWSQ	SQ057040S01	SP 5.7 OVERLAY INSP	N	N	N	TEST2_X	RAW_4	SITE	[NULL]	SQ057040_KLA	[NULL]	7,604	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	[NULL]	POVLAY	[NULL]
KFBW	KWSQ	SQ057040S01	SP 5.7 OVERLAY INSP	N	N	N	TEST2_X	RAW_3	SITE	[NULL]	SQ057040_KLA	[NULL]	7,603	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	[NULL]	POVLAY	[NULL]
KFBW	KWSQ	SQ057040S01	SP 5.7 OVERLAY INSP	N	N	N	TEST2_X	RAW_2	SITE	[NULL]	SQ057040_KLA	[NULL]	7,602	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	[NULL]	POVLAY	[NULL]
KFBW	KWSQ	SQ057040S01	SP 5.7 OVERLAY INSP	N	N	N	TEST2_X	RAW_1	SITE	[NULL]	SQ057040_KLA	[NULL]	7,601	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	[NULL]	POVLAY	[NULL]
KFBW	KWSN	SN035040	3.5 H-SOH OVERLAY INSP	N	N	N	E1_RAW_MAX_Y	VALUE	SITE	[NULL]	SN035040_KLA	[NULL]	1,000,060	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	[NULL]	POVLAY	[NULL]
KFBW	KWMK	MK140460	14.0 YE DF MONITOR	N	N	N	TEMP14	VALUE	SITE	[NULL]	MK140460_YE	[NULL]	3,800	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	2017-04-28 10:00	[NULL]	D	METRYE	[NULL]
