root_lot_id	lot_id	wafer_id	tkin_time	tkout_time	line_id	part_id	process_id	step_seq	step_id	lot_type	area	bay	eqp_model	eqp_type	eqp_id	unit_id	chamber_id	ppid	batch_id	reticle_id	foup_id	pos	lot_tkout_time	wf_tkin_time	wf_tkout_time	curr_lot_id	owning_line_id	last_flag	rework_main_step	rework_cnt	ein_ecn_no	apc_apply_yn	sendfab_type	load_port	sleuth_order	keystep_bkm	last_update_time
HYG1D1	HYG1D1.1	16	2019-08-31 23:13	2019-09-01 0:06	KFBH	K9AHGD8J0M-HBT	KHFY	FY140460	FY140460	PP	CMP	CM81	F_REX300S2	CMPTST	CEWHU2	[NULL]	B	FYMC2M	CEWHU2820190831231057041	[NULL]	PMH20943	1	2019-09-01 0:06	[NULL]	[NULL]	HYG1D1.1	KFBH	Y	[NULL]	0	ECO190226C08-3	-	-	CEWHU2_B3	0	[NULL]	2019-09-01 0:08
GHH090	GHH090.1	12	2019-09-01 0:55	2019-09-01 1:12	KFBG	K4U8E164AA-GAB	KGKA	KA082420	KA082420	PP	CLN	B45	W_SEMES_H8CFY	WETSTN	WWYGA8	[NULL]	5	RSB_POLY8_SP	WWYGA820620190901005126320	[NULL]	PMG10029	1	2019-09-01 1:12	[NULL]	[NULL]	GHH090.1	KFBG	Y	-	0	[NULL]	-	-	WWYGA8_B1	0	[NULL]	2019-09-01 1:13
JIG031	JIG031.1	22	2019-09-01 0:54	2019-09-01 1:41	KFBJ	K4E8E324ED-JAA	KJLC	LC125030	LC125030	PP	PHOTO	L13	ANT_TPZ12CDN_SC	PMAINF	PTVJL25	[NULL]	EX2	3C8KJLC.LC125P	PTVJL2538520190901004822412	JLCJSOA0R2	PJ07016	1	2019-09-01 1:41	[NULL]	[NULL]	JIG031.1	KFBJ	Y	-	0	[NULL]	Y	-	PTVJL25_I5	0	[NULL]	2019-09-01 1:42
G2G024	G2G024.1	20	2019-08-31 23:56	2019-09-01 0:14	KFBJ	K4A8G085WC-GAF	KGLB	LB123590	LB123590	PP	CLN	L02	W_SMS_H8Y	WETSTN	WWYJL01	[NULL]	4	RSB_POLY12_SP	WWYJL0195320190831235507232	[NULL]	PMG04201	1	2019-09-01 0:14	[NULL]	[NULL]	G2G024.1	KFBG	Y	RS0E0020R02	0	[NULL]	-	NEW	WWYJL01_B2	0	[NULL]	2019-09-01 0:16
HYH671	HYH671.1	20	2019-08-31 23:51	2019-09-01 0:34	KFBH	K9AHGD8J0M-HXT	KHFY	FY098460	FY098460	PP	CVD	J37	PRODUCER_GT	TCPEOX	TATHJ05	2	A	VTEOS26.4KL	TATHJ0553320190831235023673	[NULL]	PNHJ2523	1	2019-09-01 0:34	[NULL]	[NULL]	HYH671.1	KFBH	Y	-	0	[NULL]	Y	-	TATHJ05_B1	0	[NULL]	2019-09-01 0:36
GEHA24	GEHA24.1	15	2019-09-01 1:04	2019-09-01 1:20	KFBG	K4A8G085WB-GAF	KGNB	NB047240	NB047240	PP	CLN	V07	W_B2SMS_H8CF	WETSTN	WWSGQA3	[NULL]	5	MSB3HF30_BSC15	WWSGQA337720190901010100809	[NULL]	PMH10404	1	2019-09-01 1:20	[NULL]	[NULL]	GEHA24.1	KFBG	Y	[NULL]	0	[NULL]	-	-	WWSGQA3_B2	0	[NULL]	2019-09-01 1:22
CKH1B5	CKH1B5.1	23	2019-09-01 1:00	2019-09-01 1:46	KFBC	K9GDGD8U0D-CXT	KCAK	AK040460	AK040460	PP	DIFF	B17	KE_MMT	DPNANL	DPNC05	[NULL]	2	PN-900-090S-7P	DPNC0546720190901005705757	[NULL]	131502S	1	2019-09-01 1:46	[NULL]	[NULL]	CKH1B5.1	KFBC	Y	[NULL]	0	[NULL]	-	-	DPNC05_B2	0	[NULL]	2019-09-01 1:47
CSH172	CSH172.1	8	2019-08-31 22:04	2019-09-01 1:08	KFBC	K9GCGD8U0E-CCT	KCES	ES065520	ES065520	PP	DIFF	B12	KE_DJ1206VN_5000	DALDNT	DNTC69	[NULL]	103	MALSIN-630-50A	DNTC697820190831215450790	[NULL]	114128S	3	2019-09-01 1:08	[NULL]	[NULL]	CSH172.1	KFBC	Y	-	0	[NULL]	Y	-	DNTC69_B2	0	[NULL]	2019-09-01 1:10
CKHR40	CKHR40.1	20	2019-09-01 0:46	2019-09-01 1:05	KFBC	K9GDGD8U0D-CXT	KCAK	AK053440	AK053440	PP	DIFF	B63	TEL_TRIAS	DPNANL	DPNC22	[NULL]	3	SPOX-500-0022	DPNC2271920190901004303436	[NULL]	126940S	1	2019-09-01 1:05	[NULL]	[NULL]	CKHR40.1	KFBC	Y	[NULL]	0	[NULL]	Y	-	DPNC22_B1	0	[NULL]	2019-09-01 1:06
E7H418	E7H418.1	22	2019-09-01 1:10	2019-09-01 1:26	KFBE	K4B4G0846E-EAF	KEND	ND077210	ND077210	PP	CLN	ET04	W_SEMES_LCF	WETSTN	WTSEA1	[NULL]	2	MSHF20_DTH	WTSEA138720190901010556904	[NULL]	107047S	1	2019-09-01 1:26	[NULL]	[NULL]	E7H418.1	KFBE	Y	[NULL]	0	[NULL]	-	-	WTSEA1_B4	0	[NULL]	2019-09-01 1:28
CKH711	CKH711.1	7	2019-09-01 2:09	2019-09-01 2:25	KFBH	K9GDGD8U0D-CXT	KCAK	AK160160	AK160160VC	PP	CLN	ME57	W_SES_H8FK	WETSTN	WEEHU2	[NULL]	6	CUSESC35_SP	WEEHU281420190901020645996	[NULL]	PUHM5855	1	2019-09-01 2:25	[NULL]	[NULL]	CKH711.1	KFBC	Y	-	0	[NULL]	-	OLD	WEEHU2_B2	0	[NULL]	2019-09-01 2:26
G2F191	G2F191	13	2019-09-01 1:21	2019-09-01 2:27	KFM2	K4A8G085WC-GJP	KPLB	LB220310	LB220310	PP	METAL	B08	SABRE_3D	MMETAL	SNE208	2	4	P-P4GLBE_CUSND	SNE20827320190901011843563	[NULL]	Z00342	1	2019-09-01 2:27	[NULL]	[NULL]	G2F191	KFM2	Y	[NULL]	0	[NULL]	-	-	SNE208_B1	0	[NULL]	2019-09-01 2:28
HAH858	HAH858.1	23	2019-09-01 0:56	2019-09-01 2:00	KFBH	K4F8E164HM-HAB	KHLA	LA048710	LA048710	PP	METAL	CV42	AIXTRON_TSN	MMETAL	SRTHZ02	3	2	D1STSNUP	SRTHZ0272620190901005333576	[NULL]	PMH24408	1	2019-09-01 2:00	[NULL]	[NULL]	HAH858.1	KFBH	Y	[NULL]	0	[NULL]	Y	-	SRTHZ02_B2	0	[NULL]	2019-09-01 2:01
